Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;03.03.2021 16:00 - 03.03.2021 17:00 (CET);9011;7107;109;3862;2458
BZN|ES;03.03.2021 17:00 - 03.03.2021 18:00 (CET);9625;7109;108;2364;2384
BZN|ES;03.03.2021 18:00 - 03.03.2021 19:00 (CET);10740;7110;109;659;2261
BZN|ES;03.03.2021 19:00 - 03.03.2021 20:00 (CET);11156;7111;111;47;2203
BZN|ES;03.03.2021 20:00 - 03.03.2021 21:00 (CET);10680;7110;111;34;2598
BZN|ES;03.03.2021 21:00 - 03.03.2021 22:00 (CET);10013;7112;110;33;2774
BZN|ES;03.03.2021 22:00 - 03.03.2021 23:00 (CET);8648;7113;103;34;3119
BZN|ES;03.03.2021 23:00 - 04.03.2021 00:00 (CET);6315;7114;104;34;3547
BZN|ES;04.03.2021 00:00 - 04.03.2021 01:00 (CET);5595;7114;103;13;3931
BZN|ES;04.03.2021 01:00 - 04.03.2021 02:00 (CET);5876;7115;102;13;4065
BZN|ES;04.03.2021 02:00 - 04.03.2021 03:00 (CET);6077;7116;102;12;3997
BZN|ES;04.03.2021 03:00 - 04.03.2021 04:00 (CET);6126;7116;102;13;3963
BZN|ES;04.03.2021 04:00 - 04.03.2021 05:00 (CET);5972;7116;105;13;3982
BZN|ES;04.03.2021 05:00 - 04.03.2021 06:00 (CET);5756;7116;104;13;3947
BZN|ES;04.03.2021 06:00 - 04.03.2021 07:00 (CET);5761;7115;105;13;3741
BZN|ES;04.03.2021 07:00 - 04.03.2021 08:00 (CET);8767;7113;104;19;3667
BZN|ES;04.03.2021 08:00 - 04.03.2021 09:00 (CET);9998;7112;108;536;3595
BZN|ES;04.03.2021 09:00 - 04.03.2021 10:00 (CET);10235;7113;107;1872;3295
BZN|ES;04.03.2021 10:00 - 04.03.2021 11:00 (CET);9203;7114;107;3527;3075
BZN|ES;04.03.2021 11:00 - 04.03.2021 12:00 (CET);8836;7113;106;4635;3040
BZN|ES;04.03.2021 12:00 - 04.03.2021 13:00 (CET);8076;7114;106;5258;3071
BZN|ES;04.03.2021 13:00 - 04.03.2021 14:00 (CET);6400;7114;110;5356;3155
BZN|ES;04.03.2021 14:00 - 04.03.2021 15:00 (CET);6435;7113;110;4781;3109
BZN|ES;04.03.2021 15:00 - 04.03.2021 16:00 (CET);6293;7113;112;4471;3094
BZN|ES;04.03.2021 16:00 - 04.03.2021 17:00 (CET);8193;7111;111;3629;2957
BZN|ES;04.03.2021 17:00 - 04.03.2021 18:00 (CET);8738;7111;109;2108;2949
BZN|ES;04.03.2021 18:00 - 04.03.2021 19:00 (CET);9749;7111;109;535;3041
BZN|ES;04.03.2021 19:00 - 04.03.2021 20:00 (CET);10738;7112;110;51;3294
BZN|ES;04.03.2021 20:00 - 04.03.2021 21:00 (CET);10061;7112;112;44;3783
BZN|ES;04.03.2021 21:00 - 04.03.2021 22:00 (CET);9054;7113;113;44;4250
BZN|ES;04.03.2021 22:00 - 04.03.2021 23:00 (CET);6916;7113;105;45;4753
BZN|ES;04.03.2021 23:00 - 05.03.2021 00:00 (CET);6082;7113;104;28;4917
BZN|ES;05.03.2021 00:00 - 05.03.2021 01:00 (CET);5442;7113;103;21;4900
BZN|ES;05.03.2021 01:00 - 05.03.2021 02:00 (CET);5574;7116;103;21;4630
BZN|ES;05.03.2021 02:00 - 05.03.2021 03:00 (CET);6241;7115;102;20;4358
BZN|ES;05.03.2021 03:00 - 05.03.2021 04:00 (CET);6338;7115;101;21;4142
BZN|ES;05.03.2021 04:00 - 05.03.2021 05:00 (CET);6465;7116;102;21;4093
BZN|ES;05.03.2021 05:00 - 05.03.2021 06:00 (CET);5979;7116;103;21;4152
BZN|ES;05.03.2021 06:00 - 05.03.2021 07:00 (CET);5699;7116;103;20;4407
BZN|ES;05.03.2021 07:00 - 05.03.2021 08:00 (CET);9129;7115;107;27;4618
BZN|ES;05.03.2021 08:00 - 05.03.2021 09:00 (CET);10155;7114;111;401;4709
BZN|ES;05.03.2021 09:00 - 05.03.2021 10:00 (CET);10004;7116;109;1378;4563
BZN|ES;05.03.2021 10:00 - 05.03.2021 11:00 (CET);8727;7117;110;2538;4394
BZN|ES;05.03.2021 11:00 - 05.03.2021 12:00 (CET);8509;7117;110;3402;4374
BZN|ES;05.03.2021 12:00 - 05.03.2021 13:00 (CET);7855;7116;105;3788;5043
BZN|ES;05.03.2021 13:00 - 05.03.2021 14:00 (CET);7133;7115;107;3946;5456
BZN|ES;05.03.2021 14:00 - 05.03.2021 15:00 (CET);5979;7115;110;3861;5665
BZN|ES;05.03.2021 15:00 - 05.03.2021 16:00 (CET);5936;7115;111;3489;6197
BZN|ES;05.03.2021 16:00 - 05.03.2021 17:00 (CET);6626;7115;114;3070;6814
BZN|ES;05.03.2021 17:00 - 05.03.2021 18:00 (CET);7559;7113;111;2010;7444
BZN|ES;05.03.2021 18:00 - 05.03.2021 19:00 (CET);7860;7114;108;582;8087
BZN|ES;05.03.2021 19:00 - 05.03.2021 20:00 (CET);9019;7114;107;41;8964
BZN|ES;05.03.2021 20:00 - 05.03.2021 21:00 (CET);8610;7115;110;16;9607
BZN|ES;05.03.2021 21:00 - 05.03.2021 22:00 (CET);6193;7117;111;15;10079
BZN|ES;05.03.2021 22:00 - 05.03.2021 23:00 (CET);5547;7116;104;14;10219
BZN|ES;05.03.2021 23:00 - 06.03.2021 00:00 (CET);5439;7116;104;14;10039
BZN|ES;06.03.2021 00:00 - 06.03.2021 01:00 (CET);4698;7114;102;15;9729
BZN|ES;06.03.2021 01:00 - 06.03.2021 02:00 (CET);4775;7116;102;15;9375
BZN|ES;06.03.2021 02:00 - 06.03.2021 03:00 (CET);5182;7115;102;15;8918
BZN|ES;06.03.2021 03:00 - 06.03.2021 04:00 (CET);5104;7114;102;15;8162
