Time (CET);Imports;Exports
14.04.2021 15:00 - 14.04.2021 16:00;1865;3289
14.04.2021 16:00 - 14.04.2021 17:00;1828;3521
14.04.2021 17:00 - 14.04.2021 18:00;1755;3026
14.04.2021 18:00 - 14.04.2021 19:00;643;2619
14.04.2021 19:00 - 14.04.2021 20:00;1324;2364
14.04.2021 20:00 - 14.04.2021 21:00;1562;2209
14.04.2021 21:00 - 14.04.2021 22:00;2357;2196
14.04.2021 22:00 - 14.04.2021 23:00;1389;2102
14.04.2021 23:00 - 15.04.2021 00:00;939;2122
15.04.2021 00:00 - 15.04.2021 01:00;716;2411
15.04.2021 01:00 - 15.04.2021 02:00;454;2384
15.04.2021 02:00 - 15.04.2021 03:00;1011;2411
15.04.2021 03:00 - 15.04.2021 04:00;1920;2356
15.04.2021 04:00 - 15.04.2021 05:00;1909;2604
15.04.2021 05:00 - 15.04.2021 06:00;2023;2603
15.04.2021 06:00 - 15.04.2021 07:00;1964;1959
15.04.2021 07:00 - 15.04.2021 08:00;2566;2095
15.04.2021 08:00 - 15.04.2021 09:00;2678;1617
15.04.2021 09:00 - 15.04.2021 10:00;2618;1181
15.04.2021 10:00 - 15.04.2021 11:00;2735;669
15.04.2021 11:00 - 15.04.2021 12:00;2402;599
15.04.2021 12:00 - 15.04.2021 13:00;2775;490
15.04.2021 13:00 - 15.04.2021 14:00;2477;534
15.04.2021 14:00 - 15.04.2021 15:00;1651;626
15.04.2021 15:00 - 15.04.2021 16:00;1614;1142
15.04.2021 16:00 - 15.04.2021 17:00;2010;1721
15.04.2021 17:00 - 15.04.2021 18:00;1985;1649
15.04.2021 18:00 - 15.04.2021 19:00;343;1840
15.04.2021 19:00 - 15.04.2021 20:00;1222;1621
15.04.2021 20:00 - 15.04.2021 21:00;1555;1656
15.04.2021 21:00 - 15.04.2021 22:00;1544;1837
15.04.2021 22:00 - 15.04.2021 23:00;966;2196
15.04.2021 23:00 - 16.04.2021 00:00;521;2155
16.04.2021 00:00 - 16.04.2021 01:00;536;2327
16.04.2021 01:00 - 16.04.2021 02:00;0;3097
16.04.2021 02:00 - 16.04.2021 03:00;0;2830
16.04.2021 03:00 - 16.04.2021 04:00;0;2628
16.04.2021 04:00 - 16.04.2021 05:00;0;2460
16.04.2021 05:00 - 16.04.2021 06:00;401;2471
16.04.2021 06:00 - 16.04.2021 07:00;835;1848
16.04.2021 07:00 - 16.04.2021 08:00;1269;1767
16.04.2021 08:00 - 16.04.2021 09:00;2198;1566
16.04.2021 09:00 - 16.04.2021 10:00;1691;1317
16.04.2021 10:00 - 16.04.2021 11:00;812;1357
16.04.2021 11:00 - 16.04.2021 12:00;0;1616
16.04.2021 12:00 - 16.04.2021 13:00;0;1681
16.04.2021 13:00 - 16.04.2021 14:00;0;3107
16.04.2021 14:00 - 16.04.2021 15:00;0;3325
16.04.2021 15:00 - 16.04.2021 16:00;0;4055
16.04.2021 16:00 - 16.04.2021 17:00;0;4796
16.04.2021 17:00 - 16.04.2021 18:00;0;4010
16.04.2021 18:00 - 16.04.2021 19:00;0;3613
16.04.2021 19:00 - 16.04.2021 20:00;0;791
16.04.2021 20:00 - 16.04.2021 21:00;800;0
16.04.2021 21:00 - 16.04.2021 22:00;1483;0
16.04.2021 22:00 - 16.04.2021 23:00;0;76
16.04.2021 23:00 - 17.04.2021 00:00;0;1759
17.04.2021 00:00 - 17.04.2021 01:00;0;745
17.04.2021 01:00 - 17.04.2021 02:00;0;1733
17.04.2021 02:00 - 17.04.2021 03:00;0;1961
17.04.2021 03:00 - 17.04.2021 04:00;0;1007
17.04.2021 04:00 - 17.04.2021 05:00;0;70
17.04.2021 05:00 - 17.04.2021 06:00;94;558
17.04.2021 06:00 - 17.04.2021 07:00;423;1287
17.04.2021 07:00 - 17.04.2021 08:00;722;312
17.04.2021 08:00 - 17.04.2021 09:00;1133;0
17.04.2021 09:00 - 17.04.2021 10:00;674;595
17.04.2021 10:00 - 17.04.2021 11:00;0;2502
17.04.2021 11:00 - 17.04.2021 12:00;0;3323
17.04.2021 12:00 - 17.04.2021 13:00;0;3495
17.04.2021 13:00 - 17.04.2021 14:00;366;4520
17.04.2021 14:00 - 17.04.2021 15:00;1522;5758
17.04.2021 15:00 - 17.04.2021 16:00;1107;5845
17.04.2021 16:00 - 17.04.2021 17:00;0;5691
17.04.2021 17:00 - 17.04.2021 18:00;0;4888
17.04.2021 18:00 - 17.04.2021 19:00;0;3694
17.04.2021 19:00 - 17.04.2021 20:00;0;2217
17.04.2021 20:00 - 17.04.2021 21:00;675;286
17.04.2021 21:00 - 17.04.2021 22:00;450;577
17.04.2021 22:00 - 17.04.2021 23:00;0;1672
17.04.2021 23:00 - 18.04.2021 00:00;0;2330
18.04.2021 00:00 - 18.04.2021 01:00;0;3688
18.04.2021 01:00 - 18.04.2021 02:00;168;4107
18.04.2021 02:00 - 18.04.2021 03:00;121;4305
18.04.2021 03:00 - 18.04.2021 04:00;573;4446
18.04.2021 04:00 - 18.04.2021 05:00;935;4347
18.04.2021 05:00 - 18.04.2021 06:00;461;3985
18.04.2021 06:00 - 18.04.2021 07:00;702;3659
18.04.2021 07:00 - 18.04.2021 08:00;711;2873
18.04.2021 08:00 - 18.04.2021 09:00;559;2605
18.04.2021 09:00 - 18.04.2021 10:00;0;2965
18.04.2021 10:00 - 18.04.2021 11:00;247;3523
18.04.2021 11:00 - 18.04.2021 12:00;1118;3828
18.04.2021 12:00 - 18.04.2021 13:00;767;4009
18.04.2021 13:00 - 18.04.2021 14:00;1994;4816
18.04.2021 14:00 - 18.04.2021 15:00;1944;5750
18.04.2021 15:00 - 18.04.2021 16:00;1985;6241
18.04.2021 16:00 - 18.04.2021 17:00;1934;6074
18.04.2021 17:00 - 18.04.2021 18:00;0;4855
18.04.2021 18:00 - 18.04.2021 19:00;0;3919
18.04.2021 19:00 - 18.04.2021 20:00;0;205
18.04.2021 20:00 - 18.04.2021 21:00;921;0
18.04.2021 21:00 - 18.04.2021 22:00;3613;0
18.04.2021 22:00 - 18.04.2021 23:00;2785;0
18.04.2021 23:00 - 19.04.2021 00:00;2350;961
19.04.2021 00:00 - 19.04.2021 01:00;2693;3490
19.04.2021 01:00 - 19.04.2021 02:00;2699;4053
19.04.2021 02:00 - 19.04.2021 03:00;2510;4166
19.04.2021 03:00 - 19.04.2021 04:00;2462;4267
19.04.2021 04:00 - 19.04.2021 05:00;2448;4042
19.04.2021 05:00 - 19.04.2021 06:00;1960;3605
19.04.2021 06:00 - 19.04.2021 07:00;1408;1861
19.04.2021 07:00 - 19.04.2021 08:00;2201;1485
19.04.2021 08:00 - 19.04.2021 09:00;3070;1263
19.04.2021 09:00 - 19.04.2021 10:00;2525;1530
19.04.2021 10:00 - 19.04.2021 11:00;2508;1469
19.04.2021 11:00 - 19.04.2021 12:00;1963;1489
19.04.2021 12:00 - 19.04.2021 13:00;778;1913
19.04.2021 13:00 - 19.04.2021 14:00;1474;2583
19.04.2021 14:00 - 19.04.2021 15:00;1615;2707
19.04.2021 15:00 - 19.04.2021 16:00;1973;2996
19.04.2021 16:00 - 19.04.2021 17:00;1168;3042
19.04.2021 17:00 - 19.04.2021 18:00;0;2385
19.04.2021 18:00 - 19.04.2021 19:00;1352;2262
19.04.2021 19:00 - 19.04.2021 20:00;2854;1871
19.04.2021 20:00 - 19.04.2021 21:00;3546;1987
19.04.2021 21:00 - 19.04.2021 22:00;3768;1979
19.04.2021 22:00 - 19.04.2021 23:00;3122;2030
19.04.2021 23:00 - 20.04.2021 00:00;1887;2811
20.04.2021 00:00 - 20.04.2021 01:00;2262;2568
20.04.2021 01:00 - 20.04.2021 02:00;2543;2215
20.04.2021 02:00 - 20.04.2021 03:00;2639;2133
20.04.2021 03:00 - 20.04.2021 04:00;2502;2170
20.04.2021 04:00 - 20.04.2021 05:00;3007;2222
20.04.2021 05:00 - 20.04.2021 06:00;2554;2229
20.04.2021 06:00 - 20.04.2021 07:00;2085;2195
20.04.2021 07:00 - 20.04.2021 08:00;3106;2294
20.04.2021 08:00 - 20.04.2021 09:00;3086;2202
20.04.2021 09:00 - 20.04.2021 10:00;2835;1918
20.04.2021 10:00 - 20.04.2021 11:00;1665;1868
20.04.2021 11:00 - 20.04.2021 12:00;1214;1904
20.04.2021 12:00 - 20.04.2021 13:00;2083;2470
20.04.2021 13:00 - 20.04.2021 14:00;2561;2553
20.04.2021 14:00 - 20.04.2021 15:00;2282;2979
20.04.2021 15:00 - 20.04.2021 16:00;1646;3468
20.04.2021 16:00 - 20.04.2021 17:00;1205;3041
20.04.2021 17:00 - 20.04.2021 18:00;416;2417
20.04.2021 18:00 - 20.04.2021 19:00;1526;2482
20.04.2021 19:00 - 20.04.2021 20:00;2796;2614
20.04.2021 20:00 - 20.04.2021 21:00;3787;2558
20.04.2021 21:00 - 20.04.2021 22:00;3602;2620
20.04.2021 22:00 - 20.04.2021 23:00;2332;2638
20.04.2021 23:00 - 21.04.2021 00:00;2852;2645
21.04.2021 00:00 - 21.04.2021 01:00;2772;3032
21.04.2021 01:00 - 21.04.2021 02:00;2519;2990
21.04.2021 02:00 - 21.04.2021 03:00;2474;2986
21.04.2021 03:00 - 21.04.2021 04:00;2649;3078
21.04.2021 04:00 - 21.04.2021 05:00;2681;3343
21.04.2021 05:00 - 21.04.2021 06:00;2662;2994
21.04.2021 06:00 - 21.04.2021 07:00;1456;3001
21.04.2021 07:00 - 21.04.2021 08:00;3240;3043
21.04.2021 08:00 - 21.04.2021 09:00;3177;3001
21.04.2021 09:00 - 21.04.2021 10:00;2267;2774
21.04.2021 10:00 - 21.04.2021 11:00;2505;2752
21.04.2021 11:00 - 21.04.2021 12:00;2627;2941
21.04.2021 12:00 - 21.04.2021 13:00;2647;2830
21.04.2021 13:00 - 21.04.2021 14:00;2668;3223
21.04.2021 14:00 - 21.04.2021 15:00;2575;3847
21.04.2021 15:00 - 21.04.2021 16:00;2760;4113
21.04.2021 16:00 - 21.04.2021 17:00;2823;4271
21.04.2021 17:00 - 21.04.2021 18:00;2985;3782
21.04.2021 18:00 - 21.04.2021 19:00;1019;2841
21.04.2021 19:00 - 21.04.2021 20:00;2487;2585
21.04.2021 20:00 - 21.04.2021 21:00;3355;2822
21.04.2021 21:00 - 21.04.2021 22:00;4443;2862
21.04.2021 22:00 - 21.04.2021 23:00;3147;2735
21.04.2021 23:00 - 22.04.2021 00:00;2662;2934
22.04.2021 00:00 - 22.04.2021 01:00;2931;2901
22.04.2021 01:00 - 22.04.2021 02:00;2818;2926
22.04.2021 02:00 - 22.04.2021 03:00;2475;3025
22.04.2021 03:00 - 22.04.2021 04:00;2499;3209
22.04.2021 04:00 - 22.04.2021 05:00;2571;3246
22.04.2021 05:00 - 22.04.2021 06:00;2996;3215
22.04.2021 06:00 - 22.04.2021 07:00;1381;2128
22.04.2021 07:00 - 22.04.2021 08:00;2431;2043
22.04.2021 08:00 - 22.04.2021 09:00;2276;1958
22.04.2021 09:00 - 22.04.2021 10:00;2193;2122
22.04.2021 10:00 - 22.04.2021 11:00;2876;2267
22.04.2021 11:00 - 22.04.2021 12:00;2891;2210
22.04.2021 12:00 - 22.04.2021 13:00;2952;1968
22.04.2021 13:00 - 22.04.2021 14:00;2941;2400
22.04.2021 14:00 - 22.04.2021 15:00;2864;2544
22.04.2021 15:00 - 22.04.2021 16:00;2712;3139
22.04.2021 16:00 - 22.04.2021 17:00;2709;3178
22.04.2021 17:00 - 22.04.2021 18:00;2713;3122
22.04.2021 18:00 - 22.04.2021 19:00;1687;2773
22.04.2021 19:00 - 22.04.2021 20:00;2073;0
22.04.2021 20:00 - 22.04.2021 21:00;3235;0
22.04.2021 21:00 - 22.04.2021 22:00;4135;0
22.04.2021 22:00 - 22.04.2021 23:00;3164;0
22.04.2021 23:00 - 23.04.2021 00:00;2854;0
23.04.2021 00:00 - 23.04.2021 01:00;3091;0
23.04.2021 01:00 - 23.04.2021 02:00;2660;220
23.04.2021 02:00 - 23.04.2021 03:00;2671;0
23.04.2021 03:00 - 23.04.2021 04:00;2745;0
23.04.2021 04:00 - 23.04.2021 05:00;2900;0
23.04.2021 05:00 - 23.04.2021 06:00;1988;0
23.04.2021 06:00 - 23.04.2021 07:00;1719;0
23.04.2021 07:00 - 23.04.2021 08:00;2747;958
23.04.2021 08:00 - 23.04.2021 09:00;2719;106
23.04.2021 09:00 - 23.04.2021 10:00;1300;0
23.04.2021 10:00 - 23.04.2021 11:00;2482;0
23.04.2021 11:00 - 23.04.2021 12:00;2040;290
23.04.2021 12:00 - 23.04.2021 13:00;1945;774
23.04.2021 13:00 - 23.04.2021 14:00;3031;1675
23.04.2021 14:00 - 23.04.2021 15:00;2761;3399
23.04.2021 15:00 - 23.04.2021 16:00;2466;4415
23.04.2021 16:00 - 23.04.2021 17:00;2772;4479
23.04.2021 17:00 - 23.04.2021 18:00;2282;3967
23.04.2021 18:00 - 23.04.2021 19:00;0;2823
23.04.2021 19:00 - 23.04.2021 20:00;280;623
23.04.2021 20:00 - 23.04.2021 21:00;253;0
23.04.2021 21:00 - 23.04.2021 22:00;2886;369
23.04.2021 22:00 - 23.04.2021 23:00;1951;926
23.04.2021 23:00 - 24.04.2021 00:00;1920;2566
24.04.2021 00:00 - 24.04.2021 01:00;444;3017
24.04.2021 01:00 - 24.04.2021 02:00;1260;4364
24.04.2021 02:00 - 24.04.2021 03:00;619;4261
24.04.2021 03:00 - 24.04.2021 04:00;2164;4916
24.04.2021 04:00 - 24.04.2021 05:00;1988;5102
24.04.2021 05:00 - 24.04.2021 06:00;1686;4871
24.04.2021 06:00 - 24.04.2021 07:00;590;3212
24.04.2021 07:00 - 24.04.2021 08:00;761;2745
24.04.2021 08:00 - 24.04.2021 09:00;1522;2624
24.04.2021 09:00 - 24.04.2021 10:00;3037;3086
24.04.2021 10:00 - 24.04.2021 11:00;3067;3270
24.04.2021 11:00 - 24.04.2021 12:00;3005;3775
24.04.2021 12:00 - 24.04.2021 13:00;2862;3951
24.04.2021 13:00 - 24.04.2021 14:00;2755;4012
24.04.2021 14:00 - 24.04.2021 15:00;2651;4150
24.04.2021 15:00 - 24.04.2021 16:00;2664;4629
24.04.2021 16:00 - 24.04.2021 17:00;2593;4465
24.04.2021 17:00 - 24.04.2021 18:00;2564;4423
24.04.2021 18:00 - 24.04.2021 19:00;2877;4655
24.04.2021 19:00 - 24.04.2021 20:00;1846;3923
24.04.2021 20:00 - 24.04.2021 21:00;2906;2328
24.04.2021 21:00 - 24.04.2021 22:00;2942;896
24.04.2021 22:00 - 24.04.2021 23:00;2863;2500
24.04.2021 23:00 - 25.04.2021 00:00;2922;3262
25.04.2021 00:00 - 25.04.2021 01:00;2618;3632
25.04.2021 01:00 - 25.04.2021 02:00;2586;3840
25.04.2021 02:00 - 25.04.2021 03:00;2573;3936
25.04.2021 03:00 - 25.04.2021 04:00;2508;2765
25.04.2021 04:00 - 25.04.2021 05:00;2538;3403
25.04.2021 05:00 - 25.04.2021 06:00;2494;3167
25.04.2021 06:00 - 25.04.2021 07:00;2557;3811
25.04.2021 07:00 - 25.04.2021 08:00;2548;3555
25.04.2021 08:00 - 25.04.2021 09:00;2601;2044
25.04.2021 09:00 - 25.04.2021 10:00;2618;1666
25.04.2021 10:00 - 25.04.2021 11:00;2659;1168
25.04.2021 11:00 - 25.04.2021 12:00;2470;1481
25.04.2021 12:00 - 25.04.2021 13:00;2559;2149
25.04.2021 13:00 - 25.04.2021 14:00;2620;2234
25.04.2021 14:00 - 25.04.2021 15:00;2539;2796
25.04.2021 15:00 - 25.04.2021 16:00;2386;3481
25.04.2021 16:00 - 25.04.2021 17:00;2253;3724
25.04.2021 17:00 - 25.04.2021 18:00;2258;4058
25.04.2021 18:00 - 25.04.2021 19:00;2135;4226
25.04.2021 19:00 - 25.04.2021 20:00;2175;1613
25.04.2021 20:00 - 25.04.2021 21:00;2827;1784
25.04.2021 21:00 - 25.04.2021 22:00;2814;391
25.04.2021 22:00 - 25.04.2021 23:00;2752;2339
25.04.2021 23:00 - 26.04.2021 00:00;2768;3598
26.04.2021 00:00 - 26.04.2021 01:00;2848;3306
26.04.2021 01:00 - 26.04.2021 02:00;2863;3905
26.04.2021 02:00 - 26.04.2021 03:00;2846;4168
26.04.2021 03:00 - 26.04.2021 04:00;2693;4178
26.04.2021 04:00 - 26.04.2021 05:00;2592;4010
26.04.2021 05:00 - 26.04.2021 06:00;2613;3394
26.04.2021 06:00 - 26.04.2021 07:00;2634;2078
26.04.2021 07:00 - 26.04.2021 08:00;3312;1992
26.04.2021 08:00 - 26.04.2021 09:00;4505;1384
26.04.2021 09:00 - 26.04.2021 10:00;4324;452
26.04.2021 10:00 - 26.04.2021 11:00;4003;0
26.04.2021 11:00 - 26.04.2021 12:00;3300;0
26.04.2021 12:00 - 26.04.2021 13:00;3227;0
26.04.2021 13:00 - 26.04.2021 14:00;3718;0
26.04.2021 14:00 - 26.04.2021 15:00;3389;660
26.04.2021 15:00 - 26.04.2021 16:00;3394;1059
26.04.2021 16:00 - 26.04.2021 17:00;3430;1429
26.04.2021 17:00 - 26.04.2021 18:00;3155;2256
26.04.2021 18:00 - 26.04.2021 19:00;3300;2271
26.04.2021 19:00 - 26.04.2021 20:00;2488;0
26.04.2021 20:00 - 26.04.2021 21:00;5136;0
26.04.2021 21:00 - 26.04.2021 22:00;6104;0
26.04.2021 22:00 - 26.04.2021 23:00;4773;0
26.04.2021 23:00 - 27.04.2021 00:00;4353;59
27.04.2021 00:00 - 27.04.2021 01:00;3902;2258
27.04.2021 01:00 - 27.04.2021 02:00;3527;2440
27.04.2021 02:00 - 27.04.2021 03:00;2895;2433
27.04.2021 03:00 - 27.04.2021 04:00;2977;2648
27.04.2021 04:00 - 27.04.2021 05:00;3173;3070
27.04.2021 05:00 - 27.04.2021 06:00;3303;2574
27.04.2021 06:00 - 27.04.2021 07:00;3692;2445
27.04.2021 07:00 - 27.04.2021 08:00;3406;2455
27.04.2021 08:00 - 27.04.2021 09:00;3269;2477
27.04.2021 09:00 - 27.04.2021 10:00;3539;2291
27.04.2021 10:00 - 27.04.2021 11:00;2954;2323
27.04.2021 11:00 - 27.04.2021 12:00;2241;2288
27.04.2021 12:00 - 27.04.2021 13:00;2884;2391
27.04.2021 13:00 - 27.04.2021 14:00;3243;2685
27.04.2021 14:00 - 27.04.2021 15:00;3230;3606
27.04.2021 15:00 - 27.04.2021 16:00;3169;4643
27.04.2021 16:00 - 27.04.2021 17:00;2970;4290
27.04.2021 17:00 - 27.04.2021 18:00;1484;3515
27.04.2021 18:00 - 27.04.2021 19:00;478;2829
27.04.2021 19:00 - 27.04.2021 20:00;1947;2561
27.04.2021 20:00 - 27.04.2021 21:00;2772;2012
27.04.2021 21:00 - 27.04.2021 22:00;3620;1659
27.04.2021 22:00 - 27.04.2021 23:00;3455;2521
27.04.2021 23:00 - 28.04.2021 00:00;3083;2673
28.04.2021 00:00 - 28.04.2021 01:00;2860;2487
28.04.2021 01:00 - 28.04.2021 02:00;2847;2803
28.04.2021 02:00 - 28.04.2021 03:00;2820;3060
28.04.2021 03:00 - 28.04.2021 04:00;2841;2980
28.04.2021 04:00 - 28.04.2021 05:00;3126;3166
28.04.2021 05:00 - 28.04.2021 06:00;3095;2960
28.04.2021 06:00 - 28.04.2021 07:00;2904;2550
28.04.2021 07:00 - 28.04.2021 08:00;2809;2458
28.04.2021 08:00 - 28.04.2021 09:00;3457;2479
28.04.2021 09:00 - 28.04.2021 10:00;3365;2358
28.04.2021 10:00 - 28.04.2021 11:00;3223;2256
28.04.2021 11:00 - 28.04.2021 12:00;3336;2413
28.04.2021 12:00 - 28.04.2021 13:00;3267;2679
28.04.2021 13:00 - 28.04.2021 14:00;3294;3080
28.04.2021 14:00 - 28.04.2021 15:00;3167;3690
28.04.2021 15:00 - 28.04.2021 16:00;3068;3965
28.04.2021 16:00 - 28.04.2021 17:00;3074;4202
28.04.2021 17:00 - 28.04.2021 18:00;1342;3698
28.04.2021 18:00 - 28.04.2021 19:00;154;2721
28.04.2021 19:00 - 28.04.2021 20:00;1413;2480
28.04.2021 20:00 - 28.04.2021 21:00;4425;2515
28.04.2021 21:00 - 28.04.2021 22:00;5397;2573
28.04.2021 22:00 - 28.04.2021 23:00;3604;2493
28.04.2021 23:00 - 29.04.2021 00:00;3217;2734
29.04.2021 00:00 - 29.04.2021 01:00;2781;2644
29.04.2021 01:00 - 29.04.2021 02:00;2672;2948
29.04.2021 02:00 - 29.04.2021 03:00;2714;2907
29.04.2021 03:00 - 29.04.2021 04:00;2710;3151
29.04.2021 04:00 - 29.04.2021 05:00;2788;2813
29.04.2021 05:00 - 29.04.2021 06:00;2652;2935
29.04.2021 06:00 - 29.04.2021 07:00;3138;1973
29.04.2021 07:00 - 29.04.2021 08:00;4357;1870
29.04.2021 08:00 - 29.04.2021 09:00;5280;1857
29.04.2021 09:00 - 29.04.2021 10:00;4802;1716
29.04.2021 10:00 - 29.04.2021 11:00;3402;1602
29.04.2021 11:00 - 29.04.2021 12:00;2932;1801
29.04.2021 12:00 - 29.04.2021 13:00;3343;1981
29.04.2021 13:00 - 29.04.2021 14:00;3145;1587
29.04.2021 14:00 - 29.04.2021 15:00;3129;1380
29.04.2021 15:00 - 29.04.2021 16:00;2567;1783
29.04.2021 16:00 - 29.04.2021 17:00;2471;2327
29.04.2021 17:00 - 29.04.2021 18:00;1863;2542
29.04.2021 18:00 - 29.04.2021 19:00;2238;2202
29.04.2021 19:00 - 29.04.2021 20:00;2463;1411
29.04.2021 20:00 - 29.04.2021 21:00;4214;0
29.04.2021 21:00 - 29.04.2021 22:00;5196;0
29.04.2021 22:00 - 29.04.2021 23:00;3704;924
29.04.2021 23:00 - 30.04.2021 00:00;2642;1837
30.04.2021 00:00 - 30.04.2021 01:00;2420;436
30.04.2021 01:00 - 30.04.2021 02:00;2146;1464
30.04.2021 02:00 - 30.04.2021 03:00;2239;1138
30.04.2021 03:00 - 30.04.2021 04:00;2230;687
30.04.2021 04:00 - 30.04.2021 05:00;2559;979
30.04.2021 05:00 - 30.04.2021 06:00;2565;1000
30.04.2021 06:00 - 30.04.2021 07:00;2465;1487
30.04.2021 07:00 - 30.04.2021 08:00;2815;1464
30.04.2021 08:00 - 30.04.2021 09:00;3177;1386
30.04.2021 09:00 - 30.04.2021 10:00;2389;0
30.04.2021 10:00 - 30.04.2021 11:00;2610;539
30.04.2021 11:00 - 30.04.2021 12:00;2354;774
30.04.2021 12:00 - 30.04.2021 13:00;1826;1028
30.04.2021 13:00 - 30.04.2021 14:00;2835;1275
30.04.2021 14:00 - 30.04.2021 15:00;3020;1431
30.04.2021 15:00 - 30.04.2021 16:00;2538;1387
30.04.2021 16:00 - 30.04.2021 17:00;2316;1370
30.04.2021 17:00 - 30.04.2021 18:00;983;2001
30.04.2021 18:00 - 30.04.2021 19:00;38;1350
30.04.2021 19:00 - 30.04.2021 20:00;633;0
30.04.2021 20:00 - 30.04.2021 21:00;884;0
30.04.2021 21:00 - 30.04.2021 22:00;3557;0
30.04.2021 22:00 - 30.04.2021 23:00;3038;0
30.04.2021 23:00 - 01.05.2021 00:00;1433;0
01.05.2021 00:00 - 01.05.2021 01:00;1972;385
01.05.2021 01:00 - 01.05.2021 02:00;2216;1159
01.05.2021 02:00 - 01.05.2021 03:00;2330;1703
01.05.2021 03:00 - 01.05.2021 04:00;1954;1782
01.05.2021 04:00 - 01.05.2021 05:00;1981;2250
01.05.2021 05:00 - 01.05.2021 06:00;1975;2403
01.05.2021 06:00 - 01.05.2021 07:00;1991;2515
01.05.2021 07:00 - 01.05.2021 08:00;1961;3654
01.05.2021 08:00 - 01.05.2021 09:00;1963;4197
01.05.2021 09:00 - 01.05.2021 10:00;1962;3916
01.05.2021 10:00 - 01.05.2021 11:00;1986;4094
01.05.2021 11:00 - 01.05.2021 12:00;1037;4025
01.05.2021 12:00 - 01.05.2021 13:00;1327;4549
01.05.2021 13:00 - 01.05.2021 14:00;1884;4476
01.05.2021 14:00 - 01.05.2021 15:00;1759;4405
01.05.2021 15:00 - 01.05.2021 16:00;891;4292
01.05.2021 16:00 - 01.05.2021 17:00;205;3861
01.05.2021 17:00 - 01.05.2021 18:00;0;5044
01.05.2021 18:00 - 01.05.2021 19:00;0;4840
01.05.2021 19:00 - 01.05.2021 20:00;0;1386
01.05.2021 20:00 - 01.05.2021 21:00;0;935
01.05.2021 21:00 - 01.05.2021 22:00;1951;621
01.05.2021 22:00 - 01.05.2021 23:00;1502;886
01.05.2021 23:00 - 02.05.2021 00:00;2018;1528
02.05.2021 00:00 - 02.05.2021 01:00;1922;2339
02.05.2021 01:00 - 02.05.2021 02:00;2410;3104
02.05.2021 02:00 - 02.05.2021 03:00;2313;3216
02.05.2021 03:00 - 02.05.2021 04:00;2206;3262
02.05.2021 04:00 - 02.05.2021 05:00;2197;3155
02.05.2021 05:00 - 02.05.2021 06:00;2241;2804
02.05.2021 06:00 - 02.05.2021 07:00;2198;2858
02.05.2021 07:00 - 02.05.2021 08:00;2200;3294
02.05.2021 08:00 - 02.05.2021 09:00;2295;3818
02.05.2021 09:00 - 02.05.2021 10:00;2250;3856
02.05.2021 10:00 - 02.05.2021 11:00;2275;3495
02.05.2021 11:00 - 02.05.2021 12:00;2276;3832
02.05.2021 12:00 - 02.05.2021 13:00;2306;3639
02.05.2021 13:00 - 02.05.2021 14:00;2319;3312
02.05.2021 14:00 - 02.05.2021 15:00;2331;3913
02.05.2021 15:00 - 02.05.2021 16:00;2245;4242
02.05.2021 16:00 - 02.05.2021 17:00;2478;4282
02.05.2021 17:00 - 02.05.2021 18:00;2480;4788
02.05.2021 18:00 - 02.05.2021 19:00;1728;4801
02.05.2021 19:00 - 02.05.2021 20:00;412;2536
02.05.2021 20:00 - 02.05.2021 21:00;1359;1685
02.05.2021 21:00 - 02.05.2021 22:00;2693;1304
02.05.2021 22:00 - 02.05.2021 23:00;753;1679
02.05.2021 23:00 - 03.05.2021 00:00;448;1744
03.05.2021 00:00 - 03.05.2021 01:00;2224;2771
03.05.2021 01:00 - 03.05.2021 02:00;2840;3770
03.05.2021 02:00 - 03.05.2021 03:00;2670;3450
03.05.2021 03:00 - 03.05.2021 04:00;2602;3108
03.05.2021 04:00 - 03.05.2021 05:00;2457;2822
03.05.2021 05:00 - 03.05.2021 06:00;1593;1785
03.05.2021 06:00 - 03.05.2021 07:00;492;42
03.05.2021 07:00 - 03.05.2021 08:00;2101;1016
03.05.2021 08:00 - 03.05.2021 09:00;2746;544
03.05.2021 09:00 - 03.05.2021 10:00;2128;0
03.05.2021 10:00 - 03.05.2021 11:00;1999;259
03.05.2021 11:00 - 03.05.2021 12:00;2509;900
03.05.2021 12:00 - 03.05.2021 13:00;2703;1159
03.05.2021 13:00 - 03.05.2021 14:00;2741;1345
03.05.2021 14:00 - 03.05.2021 15:00;2490;1847
03.05.2021 15:00 - 03.05.2021 16:00;2372;2559
03.05.2021 16:00 - 03.05.2021 17:00;2484;1999
03.05.2021 17:00 - 03.05.2021 18:00;2484;3323
03.05.2021 18:00 - 03.05.2021 19:00;2485;2670
03.05.2021 19:00 - 03.05.2021 20:00;2602;2413
03.05.2021 20:00 - 03.05.2021 21:00;3638;0
03.05.2021 21:00 - 03.05.2021 22:00;4648;0
03.05.2021 22:00 - 03.05.2021 23:00;4078;0
03.05.2021 23:00 - 04.05.2021 00:00;3435;10
04.05.2021 00:00 - 04.05.2021 01:00;1888;2688
04.05.2021 01:00 - 04.05.2021 02:00;1299;2705
04.05.2021 02:00 - 04.05.2021 03:00;1281;2853
04.05.2021 03:00 - 04.05.2021 04:00;1385;2659
04.05.2021 04:00 - 04.05.2021 05:00;1819;2205
04.05.2021 05:00 - 04.05.2021 06:00;2017;2026
04.05.2021 06:00 - 04.05.2021 07:00;2198;1771
