Time (CET);Imports;Exports
05.03.2021 12:00 - 05.03.2021 13:00;2825;0
05.03.2021 13:00 - 05.03.2021 14:00;3457;434
05.03.2021 14:00 - 05.03.2021 15:00;3640;530
05.03.2021 15:00 - 05.03.2021 16:00;3532;1338
05.03.2021 16:00 - 05.03.2021 17:00;875;1194
05.03.2021 17:00 - 05.03.2021 18:00;0;15
05.03.2021 18:00 - 05.03.2021 19:00;801;0
05.03.2021 19:00 - 05.03.2021 20:00;1333;0
05.03.2021 20:00 - 05.03.2021 21:00;527;369
05.03.2021 21:00 - 05.03.2021 22:00;2344;445
05.03.2021 22:00 - 05.03.2021 23:00;838;122
05.03.2021 23:00 - 06.03.2021 00:00;0;642
06.03.2021 00:00 - 06.03.2021 01:00;579;0
06.03.2021 01:00 - 06.03.2021 02:00;104;0
06.03.2021 02:00 - 06.03.2021 03:00;309;0
06.03.2021 03:00 - 06.03.2021 04:00;149;0
06.03.2021 04:00 - 06.03.2021 05:00;0;153
06.03.2021 05:00 - 06.03.2021 06:00;48;0
06.03.2021 06:00 - 06.03.2021 07:00;437;0
06.03.2021 07:00 - 06.03.2021 08:00;856;145
06.03.2021 08:00 - 06.03.2021 09:00;1347;1808
06.03.2021 09:00 - 06.03.2021 10:00;969;2046
06.03.2021 10:00 - 06.03.2021 11:00;1639;2058
06.03.2021 11:00 - 06.03.2021 12:00;2159;2352
06.03.2021 12:00 - 06.03.2021 13:00;2110;2013
06.03.2021 13:00 - 06.03.2021 14:00;3593;1147
06.03.2021 14:00 - 06.03.2021 15:00;3334;1222
06.03.2021 15:00 - 06.03.2021 16:00;3327;1701
06.03.2021 16:00 - 06.03.2021 17:00;2008;1121
06.03.2021 17:00 - 06.03.2021 18:00;430;1203
06.03.2021 18:00 - 06.03.2021 19:00;2333;983
06.03.2021 19:00 - 06.03.2021 20:00;1856;91
06.03.2021 20:00 - 06.03.2021 21:00;3828;0
06.03.2021 21:00 - 06.03.2021 22:00;3774;0
06.03.2021 22:00 - 06.03.2021 23:00;3322;798
06.03.2021 23:00 - 07.03.2021 00:00;1885;890
07.03.2021 00:00 - 07.03.2021 01:00;909;431
07.03.2021 01:00 - 07.03.2021 02:00;69;422
07.03.2021 02:00 - 07.03.2021 03:00;747;441
07.03.2021 03:00 - 07.03.2021 04:00;764;450
07.03.2021 04:00 - 07.03.2021 05:00;942;640
07.03.2021 05:00 - 07.03.2021 06:00;1219;1041
07.03.2021 06:00 - 07.03.2021 07:00;1196;699
07.03.2021 07:00 - 07.03.2021 08:00;919;450
07.03.2021 08:00 - 07.03.2021 09:00;596;174
07.03.2021 09:00 - 07.03.2021 10:00;1070;0
07.03.2021 10:00 - 07.03.2021 11:00;2244;179
07.03.2021 11:00 - 07.03.2021 12:00;2713;381
07.03.2021 12:00 - 07.03.2021 13:00;3147;414
07.03.2021 13:00 - 07.03.2021 14:00;3481;336
07.03.2021 14:00 - 07.03.2021 15:00;3273;97
07.03.2021 15:00 - 07.03.2021 16:00;3150;99
07.03.2021 16:00 - 07.03.2021 17:00;2557;397
07.03.2021 17:00 - 07.03.2021 18:00;1520;0
07.03.2021 18:00 - 07.03.2021 19:00;2387;0
07.03.2021 19:00 - 07.03.2021 20:00;2602;0
07.03.2021 20:00 - 07.03.2021 21:00;5035;0
07.03.2021 21:00 - 07.03.2021 22:00;4449;0
07.03.2021 22:00 - 07.03.2021 23:00;3693;0
07.03.2021 23:00 - 08.03.2021 00:00;2231;449
08.03.2021 00:00 - 08.03.2021 01:00;1758;780
08.03.2021 01:00 - 08.03.2021 02:00;547;888
08.03.2021 02:00 - 08.03.2021 03:00;0;523
08.03.2021 03:00 - 08.03.2021 04:00;0;651
08.03.2021 04:00 - 08.03.2021 05:00;0;604
08.03.2021 05:00 - 08.03.2021 06:00;137;0
08.03.2021 06:00 - 08.03.2021 07:00;0;348
08.03.2021 07:00 - 08.03.2021 08:00;1157;0
08.03.2021 08:00 - 08.03.2021 09:00;1913;0
08.03.2021 09:00 - 08.03.2021 10:00;1673;0
08.03.2021 10:00 - 08.03.2021 11:00;1070;0
08.03.2021 11:00 - 08.03.2021 12:00;717;0
08.03.2021 12:00 - 08.03.2021 13:00;1911;87
08.03.2021 13:00 - 08.03.2021 14:00;3126;274
08.03.2021 14:00 - 08.03.2021 15:00;2653;390
08.03.2021 15:00 - 08.03.2021 16:00;1168;509
08.03.2021 16:00 - 08.03.2021 17:00;210;0
08.03.2021 17:00 - 08.03.2021 18:00;218;0
08.03.2021 18:00 - 08.03.2021 19:00;393;0
08.03.2021 19:00 - 08.03.2021 20:00;1437;0
08.03.2021 20:00 - 08.03.2021 21:00;1400;0
08.03.2021 21:00 - 08.03.2021 22:00;1240;0
08.03.2021 22:00 - 08.03.2021 23:00;0;112
08.03.2021 23:00 - 09.03.2021 00:00;0;291
09.03.2021 00:00 - 09.03.2021 01:00;379;0
09.03.2021 01:00 - 09.03.2021 02:00;525;0
09.03.2021 02:00 - 09.03.2021 03:00;864;0
09.03.2021 03:00 - 09.03.2021 04:00;1158;0
09.03.2021 04:00 - 09.03.2021 05:00;1109;0
09.03.2021 05:00 - 09.03.2021 06:00;1143;0
09.03.2021 06:00 - 09.03.2021 07:00;1814;0
09.03.2021 07:00 - 09.03.2021 08:00;2408;0
09.03.2021 08:00 - 09.03.2021 09:00;2962;0
09.03.2021 09:00 - 09.03.2021 10:00;3111;0
09.03.2021 10:00 - 09.03.2021 11:00;2415;0
09.03.2021 11:00 - 09.03.2021 12:00;1337;0
09.03.2021 12:00 - 09.03.2021 13:00;1435;0
09.03.2021 13:00 - 09.03.2021 14:00;2534;350
09.03.2021 14:00 - 09.03.2021 15:00;2544;419
09.03.2021 15:00 - 09.03.2021 16:00;1453;463
09.03.2021 16:00 - 09.03.2021 17:00;0;172
09.03.2021 17:00 - 09.03.2021 18:00;713;0
09.03.2021 18:00 - 09.03.2021 19:00;1783;0
09.03.2021 19:00 - 09.03.2021 20:00;2688;0
09.03.2021 20:00 - 09.03.2021 21:00;2656;0
09.03.2021 21:00 - 09.03.2021 22:00;3180;0
09.03.2021 22:00 - 09.03.2021 23:00;2013;309
