Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
03.03.2021 15:00 - 03.03.2021 16:00;31250;2155;2128;44.9;7597;7109;106;4723;2625
03.03.2021 16:00 - 03.03.2021 17:00;30655;226;1752;46.98;9011;7107;109;3862;2458
03.03.2021 17:00 - 03.03.2021 18:00;30543;782;1953;56.36;9625;7109;108;2364;2384
03.03.2021 18:00 - 03.03.2021 19:00;30740;1650;0;61.41;10740;7110;109;659;2261
03.03.2021 19:00 - 03.03.2021 20:00;33083;2168;0;70;11156;7111;111;47;2203
03.03.2021 20:00 - 03.03.2021 21:00;34361;4077;0;62.01;10680;7110;111;34;2598
03.03.2021 21:00 - 03.03.2021 22:00;33154;4035;0;58.99;10013;7112;110;33;2774
03.03.2021 22:00 - 03.03.2021 23:00;30564;3673;0;53;8648;7113;103;34;3119
03.03.2021 23:00 - 04.03.2021 00:00;27634;3697;0;52.28;6315;7114;104;34;3547
04.03.2021 00:00 - 04.03.2021 01:00;25625;3658;3;52.38;5595;7114;103;13;3931
04.03.2021 01:00 - 04.03.2021 02:00;24082;3497;0;46.14;5876;7115;102;13;4065
04.03.2021 02:00 - 04.03.2021 03:00;23198;3096;0;44.25;6077;7116;102;12;3997
04.03.2021 03:00 - 04.03.2021 04:00;22787;3080;301;43.39;6126;7116;102;13;3963
04.03.2021 04:00 - 04.03.2021 05:00;22720;2867;0;43.96;5972;7116;105;13;3982
04.03.2021 05:00 - 04.03.2021 06:00;23315;2320;0;46.47;5756;7116;104;13;3947
04.03.2021 06:00 - 04.03.2021 07:00;25943;2506;684;55.8;5761;7115;105;13;3741
04.03.2021 07:00 - 04.03.2021 08:00;29694;2056;1356;62.01;8767;7113;104;19;3667
04.03.2021 08:00 - 04.03.2021 09:00;32039;2837;1020;65.71;9998;7112;108;536;3595
04.03.2021 09:00 - 04.03.2021 10:00;33319;2499;513;64.93;10235;7113;107;1872;3295
04.03.2021 10:00 - 04.03.2021 11:00;33673;2103;541;60.05;9203;7114;107;3527;3075
04.03.2021 11:00 - 04.03.2021 12:00;33597;1816;1135;56.45;8836;7113;106;4635;3040
04.03.2021 12:00 - 04.03.2021 13:00;33454;2092;1489;55;8076;7114;106;5258;3071
04.03.2021 13:00 - 04.03.2021 14:00;33161;3335;1767;53.98;6400;7114;110;5356;3155
04.03.2021 14:00 - 04.03.2021 15:00;32094;2558;1468;53.23;6435;7113;110;4781;3109
04.03.2021 15:00 - 04.03.2021 16:00;30961;1736;1953;53.49;6293;7113;112;4471;3094
04.03.2021 16:00 - 04.03.2021 17:00;30315;192;930;53.07;8193;7111;111;3629;2957
04.03.2021 17:00 - 04.03.2021 18:00;30163;1237;779;56.09;8738;7111;109;2108;2949
04.03.2021 18:00 - 04.03.2021 19:00;30479;2114;0;62.13;9749;7111;109;535;3041
04.03.2021 19:00 - 04.03.2021 20:00;32797;3377;0;66.14;10738;7112;110;51;3294
04.03.2021 20:00 - 04.03.2021 21:00;33957;4601;0;62.4;10061;7112;112;44;3783
04.03.2021 21:00 - 04.03.2021 22:00;33059;4582;0;62.3;9054;7113;113;44;4250
04.03.2021 22:00 - 04.03.2021 23:00;30449;4307;0;57.1;6916;7113;105;45;4753
04.03.2021 23:00 - 05.03.2021 00:00;27583;3625;0;53.75;6082;7113;104;28;4917
05.03.2021 00:00 - 05.03.2021 01:00;25560;3210;141;48.57;5442;7113;103;21;4900
05.03.2021 01:00 - 05.03.2021 02:00;24046;2767;667;44.25;5574;7116;103;21;4630
05.03.2021 02:00 - 05.03.2021 03:00;23077;3010;587;42.65;6241;7115;102;20;4358
05.03.2021 03:00 - 05.03.2021 04:00;22768;3252;642;42.03;6338;7115;101;21;4142
05.03.2021 04:00 - 05.03.2021 05:00;22682;3198;931;43.39;6465;7116;102;21;4093
05.03.2021 05:00 - 05.03.2021 06:00;23356;2087;188;46.01;5979;7116;103;21;4152
05.03.2021 06:00 - 05.03.2021 07:00;25925;2660;0;55.22;5699;7116;103;20;4407
05.03.2021 07:00 - 05.03.2021 08:00;29790;2806;0;62.28;9129;7115;107;27;4618
05.03.2021 08:00 - 05.03.2021 09:00;32067;2959;0;67.97;10155;7114;111;401;4709
05.03.2021 09:00 - 05.03.2021 10:00;33370;3390;0;63.24;10004;7116;109;1378;4563
05.03.2021 10:00 - 05.03.2021 11:00;33655;3959;0;56.47;8727;7117;110;2538;4394
05.03.2021 11:00 - 05.03.2021 12:00;33599;3757;0;53.78;8509;7117;110;3402;4374
05.03.2021 12:00 - 05.03.2021 13:00;33403;2825;0;51.99;7855;7116;105;3788;5043
05.03.2021 13:00 - 05.03.2021 14:00;33080;3457;434;48.99;7133;7115;107;3946;5456
05.03.2021 14:00 - 05.03.2021 15:00;31918;3640;530;48.76;5979;7115;110;3861;5665
05.03.2021 15:00 - 05.03.2021 16:00;30877;3532;1338;44.06;5936;7115;111;3489;6197
05.03.2021 16:00 - 05.03.2021 17:00;30030;875;1194;48.51;6626;7115;114;3070;6814
05.03.2021 17:00 - 05.03.2021 18:00;29782;0;15;52.34;7559;7113;111;2010;7444
05.03.2021 18:00 - 05.03.2021 19:00;29980;801;0;57.55;7860;7114;108;582;8087
05.03.2021 19:00 - 05.03.2021 20:00;32212;1333;0;65;9019;7114;107;41;8964
05.03.2021 20:00 - 05.03.2021 21:00;33123;527;369;59.17;8610;7115;110;16;9607
05.03.2021 21:00 - 05.03.2021 22:00;32161;2344;445;55.34;6193;7117;111;15;10079
05.03.2021 22:00 - 05.03.2021 23:00;29914;838;122;53.15;5547;7116;104;14;10219
05.03.2021 23:00 - 06.03.2021 00:00;27222;0;642;48.17;5439;7116;104;14;10039
06.03.2021 00:00 - 06.03.2021 01:00;25489;579;0;48;4698;7114;102;15;9729
06.03.2021 01:00 - 06.03.2021 02:00;23660;104;0;42.51;4775;7116;102;15;9375
06.03.2021 02:00 - 06.03.2021 03:00;22610;309;0;41.45;5182;7115;102;15;8918
06.03.2021 03:00 - 06.03.2021 04:00;22056;149;0;40.8;5104;7114;102;15;8162
06.03.2021 04:00 - 06.03.2021 05:00;21873;0;153;40.36;5632;7114;101;15;7520
06.03.2021 05:00 - 06.03.2021 06:00;21809;48;0;40.46;5574;7113;101;15;7014
06.03.2021 06:00 - 06.03.2021 07:00;22363;437;0;41.45;5080;7113;101;14;6688
06.03.2021 07:00 - 06.03.2021 08:00;23225;856;145;44.55;5653;7113;102;24;6365
06.03.2021 08:00 - 06.03.2021 09:00;24967;1347;1808;48.03;6596;7113;105;677;5785
06.03.2021 09:00 - 06.03.2021 10:00;27449;969;2046;45.61;6692;7114;110;2599;5027
06.03.2021 10:00 - 06.03.2021 11:00;28775;1639;2058;41.39;6460;7114;110;4057;4682
06.03.2021 11:00 - 06.03.2021 12:00;28918;2159;2352;39.95;6809;7112;111;5076;4334
06.03.2021 12:00 - 06.03.2021 13:00;28798;2110;2013;39.95;6786;7111;110;5562;3787
06.03.2021 13:00 - 06.03.2021 14:00;28929;3593;1147;39.95;6300;7112;111;5527;3532
06.03.2021 14:00 - 06.03.2021 15:00;28543;3334;1222;40;6550;7112;110;4935;3397
06.03.2021 15:00 - 06.03.2021 16:00;27166;3327;1701;39.75;6913;7112;110;4185;3494
06.03.2021 16:00 - 06.03.2021 17:00;26298;2008;1121;40.27;6211;7114;111;3500;3748
06.03.2021 17:00 - 06.03.2021 18:00;25822;430;1203;48.64;6671;7114;112;2326;4065
06.03.2021 18:00 - 06.03.2021 19:00;26388;2333;983;56.02;7974;7113;108;886;4477
06.03.2021 19:00 - 06.03.2021 20:00;28434;1856;91;58.87;8281;7115;110;241;5148
