Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
04.04.2021 19:00 - 04.04.2021 20:00;21796;1184;2112;39.87;4065;6073;90;3531;5853
04.04.2021 20:00 - 04.04.2021 21:00;23703;2803;855;47.45;4772;6077;90;907;5812
04.04.2021 21:00 - 04.04.2021 22:00;26344;2722;442;46.5;5526;6081;90;516;6677
04.04.2021 22:00 - 04.04.2021 23:00;25113;2619;1292;43.04;5207;6082;89;414;6917
04.04.2021 23:00 - 05.04.2021 00:00;23230;2346;2166;39.97;4380;6083;92;178;7055
05.04.2021 00:00 - 05.04.2021 01:00;21572;2872;1763;43.97;2419;6085;90;86;6994
05.04.2021 01:00 - 05.04.2021 02:00;20145;2838;1974;37.5;2639;6086;91;34;6560
05.04.2021 02:00 - 05.04.2021 03:00;19390;2847;2521;34.05;3029;6086;91;21;5621
05.04.2021 03:00 - 05.04.2021 04:00;18875;2807;2228;34.05;2674;6089;91;21;5153
05.04.2021 04:00 - 05.04.2021 05:00;18814;2606;2038;34.05;2578;6088;90;21;5105
05.04.2021 05:00 - 05.04.2021 06:00;19113;2581;1572;35.97;2569;6091;88;21;4769
05.04.2021 06:00 - 05.04.2021 07:00;20669;2623;1398;47;2565;6092;88;20;4499
05.04.2021 07:00 - 05.04.2021 08:00;22833;2964;2070;47.1;4382;6092;88;25;4528
05.04.2021 08:00 - 05.04.2021 09:00;24333;2920;1004;48.54;4950;6094;93;689;4344
05.04.2021 09:00 - 05.04.2021 10:00;26014;2842;863;49.1;5720;6094;93;3171;3103
05.04.2021 10:00 - 05.04.2021 11:00;26535;2801;1166;49.11;5309;6092;92;5780;1925
05.04.2021 11:00 - 05.04.2021 12:00;26472;2625;1318;48.74;3559;6089;96;7968;1914
05.04.2021 12:00 - 05.04.2021 13:00;26443;2600;2134;48.1;2819;6087;98;9155;2142
05.04.2021 13:00 - 05.04.2021 14:00;26482;2732;2025;48.32;2796;6086;96;9569;2313
05.04.2021 14:00 - 05.04.2021 15:00;26135;2597;2454;47.9;2415;6082;99;9989;2590
05.04.2021 15:00 - 05.04.2021 16:00;24932;2575;3717;38.08;2539;6080;97;9812;3020
05.04.2021 16:00 - 05.04.2021 17:00;24396;2316;5028;33.48;3162;6078;97;9658;3617
05.04.2021 17:00 - 05.04.2021 18:00;24185;2289;5528;31.9;3454;6071;93;8878;4288
05.04.2021 18:00 - 05.04.2021 19:00;24115;2124;4694;34.5;3160;6071;92;7221;5123
05.04.2021 19:00 - 05.04.2021 20:00;24561;2383;1683;48.53;2899;6069;91;3874;5764
05.04.2021 20:00 - 05.04.2021 21:00;26450;2524;206;53.32;5043;6066;94;1016;6254
05.04.2021 21:00 - 05.04.2021 22:00;28815;1888;41;60.68;7240;6069;92;530;6971
05.04.2021 22:00 - 05.04.2021 23:00;26785;499;716;58.16;7142;6072;92;487;7056
05.04.2021 23:00 - 06.04.2021 00:00;24434;0;2235;57.1;5733;6074;93;413;7897
06.04.2021 00:00 - 06.04.2021 01:00;22806;0;3386;58;3186;6077;91;271;8362
06.04.2021 01:00 - 06.04.2021 02:00;21646;978;5236;50.28;2472;6084;93;222;8709
06.04.2021 02:00 - 06.04.2021 03:00;20918;558;5297;48.13;2623;6087;91;145;8990
06.04.2021 03:00 - 06.04.2021 04:00;20565;477;5250;44;2618;6085;91;121;9157
06.04.2021 04:00 - 06.04.2021 05:00;20604;1260;5363;43.93;2912;6087;92;91;9142
06.04.2021 05:00 - 06.04.2021 06:00;21213;366;5062;48.3;2739;6087;92;93;8905
06.04.2021 06:00 - 06.04.2021 07:00;23617;0;3097;58.02;3824;6085;89;92;9556
06.04.2021 07:00 - 06.04.2021 08:00;26970;545;2243;63.46;5649;6085;87;97;10232
06.04.2021 08:00 - 06.04.2021 09:00;28942;536;2277;69.01;6593;6086;93;928;10454
06.04.2021 09:00 - 06.04.2021 10:00;30103;0;2721;66.05;6261;6086;95;3841;10035
06.04.2021 10:00 - 06.04.2021 11:00;30419;0;3122;62.36;5045;6086;95;6961;9749
06.04.2021 11:00 - 06.04.2021 12:00;30555;0;3605;60.05;4164;6085;92;8861;10086
06.04.2021 12:00 - 06.04.2021 13:00;30487;0;4103;59.01;3958;6082;93;9519;10291
06.04.2021 13:00 - 06.04.2021 14:00;30580;0;4368;56.82;3720;6076;94;9810;10301
06.04.2021 14:00 - 06.04.2021 15:00;29912;0;5252;53.97;3037;6072;97;9981;10674
06.04.2021 15:00 - 06.04.2021 16:00;28915;0;5532;47.49;3399;6069;98;9813;11160
06.04.2021 16:00 - 06.04.2021 17:00;28278;0;5718;44.94;4285;6069;97;9256;11563
06.04.2021 17:00 - 06.04.2021 18:00;28085;0;5119;43.93;4086;6067;98;8262;12166
06.04.2021 18:00 - 06.04.2021 19:00;27899;0;4108;52.58;3778;6066;99;6383;12457
06.04.2021 19:00 - 06.04.2021 20:00;28274;0;2777;57.97;4746;6069;98;3188;12566
06.04.2021 20:00 - 06.04.2021 21:00;29996;127;0;64.53;6720;6074;95;915;12582
06.04.2021 21:00 - 06.04.2021 22:00;31571;1097;0;66.76;7320;6079;92;467;12716
06.04.2021 22:00 - 06.04.2021 23:00;28673;66;0;62.97;5949;6083;93;380;12873
06.04.2021 23:00 - 07.04.2021 00:00;26185;0;406;60.72;4260;6086;95;289;12997
07.04.2021 00:00 - 07.04.2021 01:00;24580;0;1760;68.25;4738;6087;95;254;13060
07.04.2021 01:00 - 07.04.2021 02:00;23291;0;1952;64.85;4153;6088;97;208;13005
07.04.2021 02:00 - 07.04.2021 03:00;22509;0;1857;62.36;3589;6090;97;178;12898
07.04.2021 03:00 - 07.04.2021 04:00;22123;0;1554;59.59;2892;6092;96;126;12699
07.04.2021 04:00 - 07.04.2021 05:00;22039;0;1300;58;3059;6092;96;94;12502
07.04.2021 05:00 - 07.04.2021 06:00;22598;0;889;59.18;3037;6092;96;94;12300
07.04.2021 06:00 - 07.04.2021 07:00;24947;0;424;60.16;3255;6093;93;93;12222
07.04.2021 07:00 - 07.04.2021 08:00;28167;201;0;65.1;5158;6093;96;100;12118
07.04.2021 08:00 - 07.04.2021 09:00;30017;1349;1458;67.03;4998;6091;96;830;11564
07.04.2021 09:00 - 07.04.2021 10:00;31266;956;2771;66.66;5000;6091;97;3332;11102
07.04.2021 10:00 - 07.04.2021 11:00;31456;318;2821;65.09;3966;6090;97;5766;10435
07.04.2021 11:00 - 07.04.2021 12:00;31481;201;2368;63;4089;6091;98;7149;9229
07.04.2021 12:00 - 07.04.2021 13:00;31714;276;2389;64.84;4486;6092;98;7989;7917
07.04.2021 13:00 - 07.04.2021 14:00;31496;0;2521;65.03;4708;6092;103;8353;6493
07.04.2021 14:00 - 07.04.2021 15:00;30611;326;3088;65.09;4223;6092;102;8438;5541
07.04.2021 15:00 - 07.04.2021 16:00;29400;567;3570;64.03;4009;6089;100;8092;5067
07.04.2021 16:00 - 07.04.2021 17:00;28929;1009;4180;62.24;4320;6087;101;7532;5127
07.04.2021 17:00 - 07.04.2021 18:00;28779;265;4017;64.24;4706;6086;102;6783;5767
07.04.2021 18:00 - 07.04.2021 19:00;28738;0;2962;66.06;5995;6084;100;5348;6016
07.04.2021 19:00 - 07.04.2021 20:00;29209;255;2380;69.75;7919;6083;102;2731;6196
07.04.2021 20:00 - 07.04.2021 21:00;30802;1848;2430;75.98;9230;6083;100;746;6428
07.04.2021 21:00 - 07.04.2021 22:00;32229;2517;2416;86.99;9660;6084;95;343;6877
07.04.2021 22:00 - 07.04.2021 23:00;29381;1472;2471;74;8755;6087;97;126;7160
07.04.2021 23:00 - 08.04.2021 00:00;26777;491;2419;69.16;7455;6089;98;42;7625
08.04.2021 00:00 - 08.04.2021 01:00;25206;937;2852;72.53;6209;6089;93;25;7839
08.04.2021 01:00 - 08.04.2021 02:00;23781;0;3118;66.58;5601;6089;90;25;7762
08.04.2021 02:00 - 08.04.2021 03:00;22913;0;2926;65;4739;6089;92;20;7607
08.04.2021 03:00 - 08.04.2021 04:00;22519;0;3385;63.18;4618;6090;93;14;7280
08.04.2021 04:00 - 08.04.2021 05:00;22471;0;3215;61.9;4112;6090;94;14;7194
08.04.2021 05:00 - 08.04.2021 06:00;22887;0;2915;65.62;4355;6090;93;14;7051
08.04.2021 06:00 - 08.04.2021 07:00;25437;843;2028;71.34;6040;6089;91;18;6755
08.04.2021 07:00 - 08.04.2021 08:00;28779;2565;1817;76.07;6939;6086;92;32;6439
08.04.2021 08:00 - 08.04.2021 09:00;30527;2684;1858;81.77;8008;6088;93;375;6109
08.04.2021 09:00 - 08.04.2021 10:00;31824;2627;1804;81.28;8461;6089;98;1559;5572
08.04.2021 10:00 - 08.04.2021 11:00;32036;1904;1912;74.52;7004;6089;100;2870;5283
08.04.2021 11:00 - 08.04.2021 12:00;32087;1642;1677;70;5636;6090;100;4087;5086
08.04.2021 12:00 - 08.04.2021 13:00;32143;1978;1584;67.4;5457;6090;101;5007;4628
08.04.2021 13:00 - 08.04.2021 14:00;31792;1387;1524;66.09;5432;6088;101;5755;4359
08.04.2021 14:00 - 08.04.2021 15:00;30599;679;1553;63.44;4544;6088;104;6322;4632
08.04.2021 15:00 - 08.04.2021 16:00;29417;573;2090;60.02;4024;6087;105;6367;4972
08.04.2021 16:00 - 08.04.2021 17:00;29009;853;2316;57;3971;6087;107;5455;5109
08.04.2021 17:00 - 08.04.2021 18:00;28711;0;2264;62.36;4879;6086;106;4480;5326
08.04.2021 18:00 - 08.04.2021 19:00;28434;644;2005;70.22;5614;6083;108;3242;5577
08.04.2021 19:00 - 08.04.2021 20:00;28928;1603;1975;74.85;6465;6082;108;1517;5947
08.04.2021 20:00 - 08.04.2021 21:00;30725;2847;1962;80.56;7913;6083;108;249;6177
08.04.2021 21:00 - 08.04.2021 22:00;32148;2517;2046;79.3;8052;6085;104;88;6307
08.04.2021 22:00 - 08.04.2021 23:00;29427;1500;2224;73.97;7004;6085;103;55;6388
08.04.2021 23:00 - 09.04.2021 00:00;26651;0;2400;69.61;5975;6086;104;15;6317
09.04.2021 00:00 - 09.04.2021 01:00;25041;841;2479;73.36;5508;6085;101;15;6026
09.04.2021 01:00 - 09.04.2021 02:00;23596;122;2352;69.98;4572;6087;99;15;6075
09.04.2021 02:00 - 09.04.2021 03:00;22741;0;2124;68.77;4084;6087;97;15;6158
09.04.2021 03:00 - 09.04.2021 04:00;22396;19;2150;67.97;4137;6087;97;15;5885
09.04.2021 04:00 - 09.04.2021 05:00;22199;185;2258;65.35;4371;6091;98;14;5421
09.04.2021 05:00 - 09.04.2021 06:00;22649;496;2037;71.37;4419;6090;97;14;5290
09.04.2021 06:00 - 09.04.2021 07:00;25134;1877;1874;73.97;5089;6089;97;14;5656
09.04.2021 07:00 - 09.04.2021 08:00;28160;2573;1360;80;6093;6090;98;15;5999
09.04.2021 08:00 - 09.04.2021 09:00;30128;2661;1339;84.23;6535;6090;99;236;6233
09.04.2021 09:00 - 09.04.2021 10:00;31671;2671;1096;86.48;7104;6089;101;1149;6203
09.04.2021 10:00 - 09.04.2021 11:00;32286;2567;822;80.27;6008;6087;101;2122;6419
09.04.2021 11:00 - 09.04.2021 12:00;32600;2314;777;73.97;5595;6086;106;3097;6407
09.04.2021 12:00 - 09.04.2021 13:00;32713;799;829;70.79;5289;6087;109;3869;6059
09.04.2021 13:00 - 09.04.2021 14:00;32519;1198;949;65.13;4685;6088;111;4434;5918
09.04.2021 14:00 - 09.04.2021 15:00;31584;728;1145;62.36;4832;6091;111;5044;5350
09.04.2021 15:00 - 09.04.2021 16:00;30290;824;2105;61.16;4204;6093;110;5362;5037
09.04.2021 16:00 - 09.04.2021 17:00;29440;1613;2365;58.12;3854;6092;110;5343;4367
09.04.2021 17:00 - 09.04.2021 18:00;29013;466;1799;63.93;4473;6092;113;4992;3729
09.04.2021 18:00 - 09.04.2021 19:00;28685;99;1033;70.68;5121;6091;111;3724;3516
09.04.2021 19:00 - 09.04.2021 20:00;28908;2273;888;74.19;6094;6089;112;1890;3553
09.04.2021 20:00 - 09.04.2021 21:00;30106;3037;925;82.97;7290;6086;111;305;3829
09.04.2021 21:00 - 09.04.2021 22:00;31259;3366;1179;76.51;6827;6088;110;22;4156
09.04.2021 22:00 - 09.04.2021 23:00;28825;2111;1233;73.25;6085;6087;108;18;4529
09.04.2021 23:00 - 10.04.2021 00:00;26517;1069;1234;70.01;5433;6088;104;13;4733
10.04.2021 00:00 - 10.04.2021 01:00;24896;2747;1845;66.02;4183;6089;97;13;4636
10.04.2021 01:00 - 10.04.2021 02:00;23467;2411;2299;63.26;4127;6087;95;13;4562
10.04.2021 02:00 - 10.04.2021 03:00;22305;2618;2592;61.86;3670;6089;95;13;4593
10.04.2021 03:00 - 10.04.2021 04:00;21801;2784;2283;60.57;2909;6092;93;13;4507
10.04.2021 04:00 - 10.04.2021 05:00;21543;2852;1985;60.16;2896;6095;92;12;4009
10.04.2021 05:00 - 10.04.2021 06:00;21396;2810;1895;61.16;3047;6096;92;13;3629
10.04.2021 06:00 - 10.04.2021 07:00;21888;2168;1153;62.36;3238;6096;93;12;3347
10.04.2021 07:00 - 10.04.2021 08:00;22671;2834;1003;62.97;3196;6095;91;15;3128
10.04.2021 08:00 - 10.04.2021 09:00;23750;3158;1039;68.32;3463;6094;93;285;3046
10.04.2021 09:00 - 10.04.2021 10:00;26322;4257;1153;70.23;4574;6092;92;1207;2732
10.04.2021 10:00 - 10.04.2021 11:00;27984;4802;1185;70.18;4704;6093;98;2440;2518
10.04.2021 11:00 - 10.04.2021 12:00;28595;4345;1576;68.97;4405;6094;100;3647;2586
10.04.2021 12:00 - 10.04.2021 13:00;28822;3310;1766;67.77;4359;6093;99;4756;2798
10.04.2021 13:00 - 10.04.2021 14:00;28956;3339;1899;65.51;4048;6090;101;5437;2970
10.04.2021 14:00 - 10.04.2021 15:00;28196;2658;2062;62.36;3951;6090;101;5666;2948
10.04.2021 15:00 - 10.04.2021 16:00;26587;2188;2412;58.01;3798;6089;102;5642;3145
10.04.2021 16:00 - 10.04.2021 17:00;25404;2185;2793;55.07;2938;6081;104;5477;3405
10.04.2021 17:00 - 10.04.2021 18:00;24906;1650;2300;59.84;3213;6079;101;4456;3480
10.04.2021 18:00 - 10.04.2021 19:00;24674;583;2040;65.7;4424;6079;103;2966;3694
10.04.2021 19:00 - 10.04.2021 20:00;25209;1347;1754;69.24;4708;6079;100;1497;3674
10.04.2021 20:00 - 10.04.2021 21:00;26763;3052;606;70.12;5521;6080;101;437;3617
10.04.2021 21:00 - 10.04.2021 22:00;28865;4300;1805;73.82;6182;6080;102;167;3992
10.04.2021 22:00 - 10.04.2021 23:00;26971;3513;1948;70.18;5978;6082;101;131;3917
10.04.2021 23:00 - 11.04.2021 00:00;24805;2705;2202;66.45;4676;6083;101;79;3940
11.04.2021 00:00 - 11.04.2021 01:00;22963;2100;2852;61.16;4019;6087;99;79;4107
11.04.2021 01:00 - 11.04.2021 02:00;21402;2449;4007;60.97;3558;6084;99;45;3903
11.04.2021 02:00 - 11.04.2021 03:00;20265;2200;4133;57.21;3875;6083;99;14;3994
11.04.2021 03:00 - 11.04.2021 04:00;19722;2207;4146;53.75;3783;6085;100;14;4285
11.04.2021 04:00 - 11.04.2021 05:00;19414;2250;4051;51.52;3414;6086;99;14;4588
11.04.2021 05:00 - 11.04.2021 06:00;19444;2167;3797;50.97;3338;6086;98;14;4719
11.04.2021 06:00 - 11.04.2021 07:00;19817;2090;3141;51.81;3341;6086;98;13;4773
11.04.2021 07:00 - 11.04.2021 08:00;20063;1954;2514;49.4;3158;6084;98;20;5380
11.04.2021 08:00 - 11.04.2021 09:00;20734;1474;2769;52.91;3048;6085;101;381;5908
11.04.2021 09:00 - 11.04.2021 10:00;22875;815;2861;55.35;3010;6084;100;1583;6394
11.04.2021 10:00 - 11.04.2021 11:00;24781;0;2270;56.54;3672;6084;99;3175;6980
11.04.2021 11:00 - 11.04.2021 12:00;25826;0;3118;53.2;3460;6082;98;4641;7934
11.04.2021 12:00 - 11.04.2021 13:00;26139;0;3672;53.23;3678;6082;98;5506;8964
11.04.2021 13:00 - 11.04.2021 14:00;26582;0;4411;45.9;3356;6083;97;6028;10186
11.04.2021 14:00 - 11.04.2021 15:00;26491;0;3970;41.92;4061;6081;98;6287;10991
11.04.2021 15:00 - 11.04.2021 16:00;24735;0;4611;41.29;4248;6080;97;6502;11210
11.04.2021 16:00 - 11.04.2021 17:00;23581;0;4278;37.6;4588;6078;96;6586;11516
11.04.2021 17:00 - 11.04.2021 18:00;23196;0;4207;34.84;4623;6081;95;6102;12318
11.04.2021 18:00 - 11.04.2021 19:00;23393;0;4372;40.1;4511;6083;94;5352;12852
11.04.2021 19:00 - 11.04.2021 20:00;24066;0;3483;47.48;3588;6084;94;3202;13316
11.04.2021 20:00 - 11.04.2021 21:00;25825;0;1412;60.97;3991;6087;92;995;12886
11.04.2021 21:00 - 11.04.2021 22:00;28178;0;219;67.2;5751;6085;91;412;13147
11.04.2021 22:00 - 11.04.2021 23:00;26782;0;2599;63.85;4830;6087;89;316;13458
11.04.2021 23:00 - 12.04.2021 00:00;24797;0;2929;59.14;3557;6087;91;219;12956
12.04.2021 00:00 - 12.04.2021 01:00;23096;0;3368;60.57;3352;6087;91;188;12446
12.04.2021 01:00 - 12.04.2021 02:00;21723;0;3047;53.2;2718;6090;88;144;12229
12.04.2021 02:00 - 12.04.2021 03:00;20903;0;2364;50;3227;6091;89;113;11790
12.04.2021 03:00 - 12.04.2021 04:00;20568;0;2019;49.6;3436;6090;90;56;11359
12.04.2021 04:00 - 12.04.2021 05:00;20634;57;2098;49.7;3493;6091;92;44;10894
12.04.2021 05:00 - 12.04.2021 06:00;21294;466;2068;52.7;2912;6091;88;44;10400
12.04.2021 06:00 - 12.04.2021 07:00;23954;1302;1891;60.02;3007;6092;90;25;9825
12.04.2021 07:00 - 12.04.2021 08:00;27410;2110;1863;70.43;5194;6091;88;37;9631
12.04.2021 08:00 - 12.04.2021 09:00;29647;2952;1888;71.29;5645;6091;91;1049;9462
12.04.2021 09:00 - 12.04.2021 10:00;31028;2690;1906;69.68;5116;6091;92;3799;9304
12.04.2021 10:00 - 12.04.2021 11:00;31394;1855;2092;63.26;4466;6092;92;6175;8721
12.04.2021 11:00 - 12.04.2021 12:00;31387;1245;1810;60.02;4606;6091;92;7686;7327
12.04.2021 12:00 - 12.04.2021 13:00;31452;1362;2088;62;4946;6092;90;8413;6246
12.04.2021 13:00 - 12.04.2021 14:00;31180;1524;2136;62;4979;6091;91;8681;5405
12.04.2021 14:00 - 12.04.2021 15:00;30510;1214;1925;61.16;5016;6088;89;8587;5015
12.04.2021 15:00 - 12.04.2021 16:00;29437;925;1855;58.97;4771;6086;92;8537;4828
12.04.2021 16:00 - 12.04.2021 17:00;28718;243;1978;58.02;5074;6086;92;8110;5140
12.04.2021 17:00 - 12.04.2021 18:00;28341;633;1733;61.07;5227;6086;94;6858;5181
12.04.2021 18:00 - 12.04.2021 19:00;28061;1155;1912;66;5942;6085;93;5357;5231
12.04.2021 19:00 - 12.04.2021 20:00;28544;2353;1923;72.05;7378;6085;93;2924;4996
12.04.2021 20:00 - 12.04.2021 21:00;30054;2788;1919;78.74;8275;6086;93;867;4818
12.04.2021 21:00 - 12.04.2021 22:00;31755;2981;2021;78;9294;6087;91;500;5135
12.04.2021 22:00 - 12.04.2021 23:00;29274;3064;1965;72.94;7071;6089;93;365;5338
12.04.2021 23:00 - 13.04.2021 00:00;26616;2759;2043;71.43;5978;6089;94;326;5317
13.04.2021 00:00 - 13.04.2021 01:00;24747;1425;2998;76.48;4675;6091;87;249;5134
13.04.2021 01:00 - 13.04.2021 02:00;23375;1172;3245;72.07;4350;6091;87;180;4902
13.04.2021 02:00 - 13.04.2021 03:00;22601;714;3269;69.14;4445;6091;83;155;4599
13.04.2021 03:00 - 13.04.2021 04:00;22297;462;3191;68.99;4528;6092;84;133;4223
13.04.2021 04:00 - 13.04.2021 05:00;22174;531;3129;66;4760;6091;84;110;3885
13.04.2021 05:00 - 13.04.2021 06:00;22839;1056;2985;71.73;5042;6092;86;110;3633
13.04.2021 06:00 - 13.04.2021 07:00;25358;1774;3084;77.18;6017;6091;87;34;3616
13.04.2021 07:00 - 13.04.2021 08:00;28672;2614;2459;80.52;6570;6091;89;43;3592
13.04.2021 08:00 - 13.04.2021 09:00;30732;2714;2468;87.83;6725;6090;93;883;3446
13.04.2021 09:00 - 13.04.2021 10:00;31743;2899;2404;86;6272;6091;91;2793;3321
13.04.2021 10:00 - 13.04.2021 11:00;32605;2242;2396;80.85;6271;6089;91;4688;3208
13.04.2021 11:00 - 13.04.2021 12:00;32679;1335;2468;78.51;5707;6087;92;6229;3022
13.04.2021 12:00 - 13.04.2021 13:00;32714;1396;2395;78;4970;6086;95;7331;2933
13.04.2021 13:00 - 13.04.2021 14:00;32311;1094;2381;72;4202;6083;96;7679;2977
13.04.2021 14:00 - 13.04.2021 15:00;31281;784;2489;66;3361;6084;96;7594;3145
13.04.2021 15:00 - 13.04.2021 16:00;30174;717;3105;62.36;3525;6085;97;7204;2946
13.04.2021 16:00 - 13.04.2021 17:00;29639;867;3432;62.36;3730;6083;96;6350;2795
13.04.2021 17:00 - 13.04.2021 18:00;29503;169;3190;65.97;5170;6079;98;5027;2662
13.04.2021 18:00 - 13.04.2021 19:00;29298;1043;2374;74.32;5352;6078;99;3836;2679
13.04.2021 19:00 - 13.04.2021 20:00;29863;1780;2349;80.85;6862;6078;100;1886;2515
13.04.2021 20:00 - 13.04.2021 21:00;31418;2932;1698;88.32;8172;6079;101;525;2395
13.04.2021 21:00 - 13.04.2021 22:00;32401;2783;1171;86.72;7650;6083;98;297;2435
13.04.2021 22:00 - 13.04.2021 23:00;29537;1822;2298;80.76;6850;6083;98;227;2507
13.04.2021 23:00 - 14.04.2021 00:00;26926;1522;2443;78.98;6159;6085;97;173;2496
14.04.2021 00:00 - 14.04.2021 01:00;25294;1815;2864;78;5458;6081;89;122;2406
14.04.2021 01:00 - 14.04.2021 02:00;23749;1656;2935;72;4640;6078;88;100;2390
14.04.2021 02:00 - 14.04.2021 03:00;22855;2223;2898;70.45;3898;6073;87;78;2491
14.04.2021 03:00 - 14.04.2021 04:00;22507;2326;2770;69.05;4049;6075;89;53;2397
14.04.2021 04:00 - 14.04.2021 05:00;22405;2239;2720;68;4145;6074;87;53;2301
14.04.2021 05:00 - 14.04.2021 06:00;23008;2005;2516;70.66;4570;6075;84;53;2326
14.04.2021 06:00 - 14.04.2021 07:00;25586;2495;2565;78.51;6301;6080;86;52;2420
14.04.2021 07:00 - 14.04.2021 08:00;28855;2643;2636;83.3;7162;6085;86;59;2567
14.04.2021 08:00 - 14.04.2021 09:00;30724;2616;2590;88.41;8323;6086;93;398;2978
14.04.2021 09:00 - 14.04.2021 10:00;31633;2752;2393;85.64;7859;6086;93;1439;3151
14.04.2021 10:00 - 14.04.2021 11:00;31842;2779;2356;81;6129;5884;92;2794;3615
14.04.2021 11:00 - 14.04.2021 12:00;32087;2113;2383;77.69;5458;6054;92;4069;4404
14.04.2021 12:00 - 14.04.2021 13:00;32163;1610;2410;72.31;4232;6053;98;5271;4949
14.04.2021 13:00 - 14.04.2021 14:00;31694;2280;2333;67.97;3374;6054;103;5554;4977
14.04.2021 14:00 - 14.04.2021 15:00;30693;1795;2535;66.1;3146;6056;102;5583;5154
14.04.2021 15:00 - 14.04.2021 16:00;29676;1865;3289;61.97;2892;6056;101;4999;5373
14.04.2021 16:00 - 14.04.2021 17:00;29283;1828;3521;62.23;3194;6058;103;4099;5498
14.04.2021 17:00 - 14.04.2021 18:00;28974;1755;3026;65.96;3369;6058;104;3369;5958
14.04.2021 18:00 - 14.04.2021 19:00;28845;643;2619;73.19;4882;6056;104;2223;6705
14.04.2021 19:00 - 14.04.2021 20:00;29602;1324;2364;75.28;5236;6058;106;1066;7329
14.04.2021 20:00 - 14.04.2021 21:00;31267;1562;2209;78.51;6422;6058;104;147;8029
14.04.2021 21:00 - 14.04.2021 22:00;32384;2357;2196;81.7;5384;6058;102;20;9077
14.04.2021 22:00 - 14.04.2021 23:00;29303;1389;2102;76.51;4064;6056;98;20;10082
14.04.2021 23:00 - 15.04.2021 00:00;26749;939;2122;70.52;3305;6057;96;20;10285
15.04.2021 00:00 - 15.04.2021 01:00;25185;716;2411;65.84;3550;5954;92;19;10157
15.04.2021 01:00 - 15.04.2021 02:00;23792;454;2384;62.97;3766;5051;92;18;9726
15.04.2021 02:00 - 15.04.2021 03:00;22983;1011;2411;60.98;4355;5051;93;18;8845
15.04.2021 03:00 - 15.04.2021 04:00;22742;1920;2356;59.71;4024;5049;97;18;8294
15.04.2021 04:00 - 15.04.2021 05:00;22580;1909;2604;61.16;3939;5049;96;18;8058
15.04.2021 05:00 - 15.04.2021 06:00;23124;2023;2603;61.16;4146;5051;96;18;7962
15.04.2021 06:00 - 15.04.2021 07:00;25587;1964;1959;64.47;5194;5049;95;17;8022
15.04.2021 07:00 - 15.04.2021 08:00;28445;2566;2095;72.97;4977;5050;94;24;8147
15.04.2021 08:00 - 15.04.2021 09:00;30451;2678;1617;78;5275;5052;100;252;8058
15.04.2021 09:00 - 15.04.2021 10:00;31770;2618;1181;76.79;6049;5056;100;936;7808
15.04.2021 10:00 - 15.04.2021 11:00;32336;2735;669;76.74;5597;5081;104;1916;7641
15.04.2021 11:00 - 15.04.2021 12:00;32557;2402;599;75.16;5063;5080;101;2817;7285
15.04.2021 12:00 - 15.04.2021 13:00;32377;2775;490;70.67;4164;5080;101;3677;6585
15.04.2021 13:00 - 15.04.2021 14:00;32243;2477;534;69;4418;5079;105;4261;5798
15.04.2021 14:00 - 15.04.2021 15:00;31316;1651;626;63.72;4669;5079;106;4256;5215
15.04.2021 15:00 - 15.04.2021 16:00;30252;1614;1142;60.55;4306;5078;110;4620;5217
15.04.2021 16:00 - 15.04.2021 17:00;29651;2010;1721;59.18;3803;5079;110;4491;5732
15.04.2021 17:00 - 15.04.2021 18:00;29378;1985;1649;61.18;3324;5076;108;3558;6625
15.04.2021 18:00 - 15.04.2021 19:00;29182;343;1840;70.14;3964;5076;109;2569;7488
15.04.2021 19:00 - 15.04.2021 20:00;29795;1222;1621;72.02;4855;5074;110;1474;8134
15.04.2021 20:00 - 15.04.2021 21:00;31417;1555;1656;76.45;6110;5075;109;290;8912
15.04.2021 21:00 - 15.04.2021 22:00;32447;1544;1837;78;6514;5078;106;29;9407
15.04.2021 22:00 - 15.04.2021 23:00;29666;966;2196;72;4504;5077;98;28;10301
15.04.2021 23:00 - 16.04.2021 00:00;27108;521;2155;67.58;3862;5076;103;23;10639
16.04.2021 00:00 - 16.04.2021 01:00;25317;536;2327;74.52;3701;5077;103;22;10521
16.04.2021 01:00 - 16.04.2021 02:00;23983;0;3097;69.13;3673;5078;103;24;9949
16.04.2021 02:00 - 16.04.2021 03:00;23077;0;2830;68.07;3608;5079;104;24;9515
16.04.2021 03:00 - 16.04.2021 04:00;22681;0;2628;65.87;3728;5079;104;24;9006
16.04.2021 04:00 - 16.04.2021 05:00;22574;0;2460;62.57;3760;5134;106;24;8755
16.04.2021 05:00 - 16.04.2021 06:00;23009;401;2471;64.75;3850;5216;105;22;8665
16.04.2021 06:00 - 16.04.2021 07:00;25438;835;1848;70;4953;5299;107;18;8664
16.04.2021 07:00 - 16.04.2021 08:00;28521;1269;1767;73.33;5521;5386;107;57;8599
16.04.2021 08:00 - 16.04.2021 09:00;30510;2198;1566;76.79;5705;5427;110;1216;8392
16.04.2021 09:00 - 16.04.2021 10:00;31731;1691;1317;76.38;5209;5488;109;3534;8605
16.04.2021 10:00 - 16.04.2021 11:00;32089;812;1357;75.64;4411;5513;110;5656;9136
