"Time (CET),""Day-ahead Total Load Forecast [MW] - BZN|ES"",""Actual Total Load [MW] - BZN|ES"""
"04.03.2021 04:00 - 04.03.2021 05:00,""22980"",""22720"""
"04.03.2021 05:00 - 04.03.2021 06:00,""23671"",""23315"""
"04.03.2021 06:00 - 04.03.2021 07:00,""26266"",""25943"""
"04.03.2021 07:00 - 04.03.2021 08:00,""29824"",""29694"""
"04.03.2021 08:00 - 04.03.2021 09:00,""31919"",""32039"""
"04.03.2021 09:00 - 04.03.2021 10:00,""33211"",""33319"""
"04.03.2021 10:00 - 04.03.2021 11:00,""33497"",""33673"""
"04.03.2021 11:00 - 04.03.2021 12:00,""33440"",""33597"""
"04.03.2021 12:00 - 04.03.2021 13:00,""33292"",""33454"""
"04.03.2021 13:00 - 04.03.2021 14:00,""33251"",""33161"""
"04.03.2021 14:00 - 04.03.2021 15:00,""32330"",""32094"""
"04.03.2021 15:00 - 04.03.2021 16:00,""31295"",""30961"""
"04.03.2021 16:00 - 04.03.2021 17:00,""30735"",""30315"""
"04.03.2021 17:00 - 04.03.2021 18:00,""30514"",""30163"""
"04.03.2021 18:00 - 04.03.2021 19:00,""30702"",""30479"""
"04.03.2021 19:00 - 04.03.2021 20:00,""32816"",""32797"""
"04.03.2021 20:00 - 04.03.2021 21:00,""34065"",""33957"""
"04.03.2021 21:00 - 04.03.2021 22:00,""33168"",""33059"""
"04.03.2021 22:00 - 04.03.2021 23:00,""30510"",""30449"""
"04.03.2021 23:00 - 05.03.2021 00:00,""27708"",""27583"""
"05.03.2021 00:00 - 05.03.2021 01:00,""25754"",""25560"""
"05.03.2021 01:00 - 05.03.2021 02:00,""24080"",""24046"""
"05.03.2021 02:00 - 05.03.2021 03:00,""23216"",""23077"""
"05.03.2021 03:00 - 05.03.2021 04:00,""22836"",""22768"""
"05.03.2021 04:00 - 05.03.2021 05:00,""22707"",""22682"""
"05.03.2021 05:00 - 05.03.2021 06:00,""23428"",""23356"""
"05.03.2021 06:00 - 05.03.2021 07:00,""25979"",""25925"""
"05.03.2021 07:00 - 05.03.2021 08:00,""29514"",""29790"""
"05.03.2021 08:00 - 05.03.2021 09:00,""31769"",""32067"""
"05.03.2021 09:00 - 05.03.2021 10:00,""33363"",""33370"""
"05.03.2021 10:00 - 05.03.2021 11:00,""33830"",""33655"""
"05.03.2021 11:00 - 05.03.2021 12:00,""33829"",""33599"""
"05.03.2021 12:00 - 05.03.2021 13:00,""33696"",""33403"""
"05.03.2021 13:00 - 05.03.2021 14:00,""33410"",""33080"""
"05.03.2021 14:00 - 05.03.2021 15:00,""32301"",""31918"""
"05.03.2021 15:00 - 05.03.2021 16:00,""31074"",""30877"""
"05.03.2021 16:00 - 05.03.2021 17:00,""30357"",""30030"""
"05.03.2021 17:00 - 05.03.2021 18:00,""29974"",""29782"""
"05.03.2021 18:00 - 05.03.2021 19:00,""30054"",""29980"""
"05.03.2021 19:00 - 05.03.2021 20:00,""32091"",""32212"""
"05.03.2021 20:00 - 05.03.2021 21:00,""33180"",""33123"""
"05.03.2021 21:00 - 05.03.2021 22:00,""32373"",""32161"""
"05.03.2021 22:00 - 05.03.2021 23:00,""29998"",""29914"""
"05.03.2021 23:00 - 06.03.2021 00:00,""27390"",""27222"""
"06.03.2021 00:00 - 06.03.2021 01:00,""25616"",""25489"""
"06.03.2021 01:00 - 06.03.2021 02:00,""23981"",""23660"""
"06.03.2021 02:00 - 06.03.2021 03:00,""22851"",""22610"""
